City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nova sintra,14.8667,-24.7167,23.39,81,0,10.57,CV,1714646256
84,saudarkrokur,65.7461,-19.6394,7.32,62,82,5.5,IS,1714646256
85,villa gesell,-37.2639,-56.973,6.7,67,93,6.98,AR,1714646256
86,carnarvon,-24.8667,113.6333,27.7,38,1,4.24,AU,1714646256
87,antonio enes,-16.2325,39.9086,28.51,63,88,5.55,MZ,1714646256
88,la'ie,21.6477,-157.9253,25.98,80,61,3.13,US,1714646256
89,kavaratti,10.5669,72.642,30.37,64,100,4.87,IN,1714646256
90,thompson,55.7435,-97.8558,-0.91,100,100,3.6,CA,1714646256
91,misratah,32.3754,15.0925,21.71,47,0,3.08,LY,1714646256
92,el granada,37.5027,-122.4694,14.1,72,20,5.66,US,1714646256
93,ribnita,47.7664,29.0011,23.58,31,55,4.24,MD,1714646256
94,vyksa,55.3175,42.1744,8.45,52,95,4.05,RU,1714646256
95,port elizabeth,-33.918,25.5701,28.94,61,0,4.63,ZA,1714646094
96,taroa,8.7058,171.2275,27.59,82,85,7.9,MH,1714646257
97,sandnessjoen,66.0217,12.6316,16.29,39,0,2.57,NO,1714646257
98,selfoss,63.9331,-20.9971,6.69,85,100,6.11,IS,1714646257
99,ilulissat,69.2167,-51.1,-5.99,86,75,1.54,GL,1714646257
100,campo gallo,-26.5833,-62.85,14.61,92,100,5.18,AR,1714646257
101,port alfred,-33.5906,26.891,23.43,75,26,2.24,ZA,1714646257
102,yei,4.095,30.6779,31.95,44,92,2.21,SS,1714646257
103,peniche,39.3558,-9.3811,15.62,68,37,4.18,PT,1714646257
104,ranau,5.9538,116.6641,23.09,97,96,0.67,MY,1714646257
105,olonkinbyen,70.9221,-8.7187,-1.78,98,100,7.58,SJ,1714646257
106,saipan,15.1355,145.701,27.39,78,40,5.14,MP,1714646257
107,hadibu,12.65,54.0333,31.38,67,72,0.93,YE,1714646257
108,afaahiti,-17.75,-149.2833,23.93,79,80,10.58,PF,1714646257
109,gwanda,-20.9333,29.0,29.8,14,0,7.41,ZW,1714646257
110,vilyuchinsk,52.9306,158.4028,4.15,84,100,2.48,RU,1714646257
111,tsiombe,-25.3,45.4833,28.8,44,0,4.67,MG,1714646257
112,amuntai,-2.4177,115.2494,26.14,94,100,0.42,ID,1714646257
113,san pedro,14.35,121.0167,32.97,61,20,4.12,PH,1714646257
114,arteche,12.2645,125.4048,26.37,84,100,2.1,PH,1714646257
115,papatowai,-46.5619,169.4708,8.89,81,100,8.61,NZ,1714646257
116,puerto ayora,-0.7393,-90.3518,21.97,97,32,1.82,EC,1714646258
117,praia da vitoria,38.7333,-27.0667,18.14,72,40,8.03,PT,1714646258
118,mount isa,-20.7333,139.5,21.87,56,88,2.06,AU,1714646258
119,taulaga,-11.0553,-171.0883,29.59,74,15,6.83,AS,1714646258
120,nagqu,31.5,92.0,3.65,15,95,6.06,CN,1714646258
121,wailua homesteads,22.0669,-159.378,23.44,84,40,5.66,US,1714646258
122,klyuchi,52.2667,79.1667,10.79,72,100,6.29,RU,1714646258
123,figuig (centre),32.1089,-1.2286,22.0,20,30,2.73,MA,1714646258
124,hamilton,39.1834,-84.5333,17.91,94,0,1.54,US,1714646034
125,sur,22.5667,59.5289,33.27,48,94,3.81,OM,1714646258
126,whitehorse,60.7161,-135.0538,2.12,63,0,0.89,CA,1714645963
127,fortaleza,-3.7227,-38.5247,27.82,97,75,2.06,BR,1714646025
128,ust-nera,64.5667,143.2,-6.58,95,41,1.47,RU,1714646258
129,griffith,41.5284,-87.4237,13.96,86,0,0.0,US,1714646000
130,puerto baquerizo moreno,-0.9,-89.6,23.7,88,25,3.19,EC,1714646258
131,bani walid,31.7566,13.9942,25.06,24,0,2.51,LY,1714646258
132,kingston,17.997,-76.7936,26.53,83,75,5.14,JM,1714646121
133,vilyuysk,63.7553,121.6247,-1.67,97,100,4.02,RU,1714646258
134,campo verde,-20.4167,-54.0667,22.98,66,2,2.08,BR,1714646258
135,rodolfo sanchez taboada,31.7167,-116.5667,13.94,77,0,0.57,MX,1714646258
136,dzhalagash,45.0833,64.6667,26.62,17,85,5.78,KZ,1714646258
137,ribeira grande,38.5167,-28.7,18.22,94,75,6.26,PT,1714646259
138,bathsheba,13.2167,-59.5167,26.34,94,75,4.63,BB,1714646259
139,lalian,31.8241,72.7997,35.11,11,44,2.57,PK,1714646259
140,katsuren-haebaru,26.3369,127.8719,22.43,95,100,2.06,JP,1714646259
141,nefta,33.8731,7.8777,29.14,21,0,6.61,TN,1714646259
